"Step","biogrid_exp_match_seed314 - train/loss","biogrid_exp_match_seed314 - train/loss__MIN","biogrid_exp_match_seed314 - train/loss__MAX","biogrid_exp_nomatch_seed314 - train/loss","biogrid_exp_nomatch_seed314 - train/loss__MIN","biogrid_exp_nomatch_seed314 - train/loss__MAX","biogrid_exp_match_seed550 - train/loss","biogrid_exp_match_seed550 - train/loss__MIN","biogrid_exp_match_seed550 - train/loss__MAX","biogrid_exp_nomatch_seed550 - train/loss","biogrid_exp_nomatch_seed550 - train/loss__MIN","biogrid_exp_nomatch_seed550 - train/loss__MAX","biogrid_exp_match_seed576 - train/loss","biogrid_exp_match_seed576 - train/loss__MIN","biogrid_exp_match_seed576 - train/loss__MAX","biogrid_exp_nomatch_seed576 - train/loss","biogrid_exp_nomatch_seed576 - train/loss__MIN","biogrid_exp_nomatch_seed576 - train/loss__MAX","biogrid_exp_match_seed842 - train/loss","biogrid_exp_match_seed842 - train/loss__MIN","biogrid_exp_match_seed842 - train/loss__MAX","biogrid_exp_match_seed669 - train/loss","biogrid_exp_match_seed669 - train/loss__MIN","biogrid_exp_match_seed669 - train/loss__MAX","biogrid_exp_nomatch_seed842 - train/loss","biogrid_exp_nomatch_seed842 - train/loss__MIN","biogrid_exp_nomatch_seed842 - train/loss__MAX","biogrid_exp_nomatch_seed669 - train/loss","biogrid_exp_nomatch_seed669 - train/loss__MIN","biogrid_exp_nomatch_seed669 - train/loss__MAX"
"100","0.6776396745443344","0.6776396745443344","0.6776396745443344","0.6546431678533554","0.6546431678533554","0.6546431678533554","0.6730998730659485","0.6730998730659485","0.6730998730659485","0.6512464749813079","0.6512464749813079","0.6512464749813079","0.6904846382141113","0.6904846382141113","0.6904846382141113","0.6800283485651016","0.6800283485651016","0.6800283485651016","0.6799235928058625","0.6799235928058625","0.6799235928058625","0.6799175369739533","0.6799175369739533","0.6799175369739533","0.6600885385274887","0.6600885385274887","0.6600885385274887","0.6486690652370453","0.6486690652370453","0.6486690652370453"
"200","0.6521197658777237","0.6521197658777237","0.6521197658777237","0.5760700613260269","0.5760700613260269","0.5760700613260269","0.6536110413074493","0.6536110413074493","0.6536110413074493","0.5409421780705452","0.5409421780705452","0.5409421780705452","0.650629820227623","0.650629820227623","0.650629820227623","0.5490274915099144","0.5490274915099144","0.5490274915099144","0.6502035635709763","0.6502035635709763","0.6502035635709763","0.6535834127664566","0.6535834127664566","0.6535834127664566","0.5776209613680839","0.5776209613680839","0.5776209613680839","0.5425342357158661","0.5425342357158661","0.5425342357158661"
"300","0.6502229100465775","0.6502229100465775","0.6502229100465775","0.5239246982336044","0.5239246982336044","0.5239246982336044","0.6475594830513001","0.6475594830513001","0.6475594830513001","0.5097499099373818","0.5097499099373818","0.5097499099373818","0.6475825977325439","0.6475825977325439","0.6475825977325439","0.5070665711164475","0.5070665711164475","0.5070665711164475","0.6436336892843246","0.6436336892843246","0.6436336892843246","0.6473560589551925","0.6473560589551925","0.6473560589551925","0.5208211117982864","0.5208211117982864","0.5208211117982864","0.5115102982521057","0.5115102982521057","0.5115102982521057"
"400","0.6435573863983154","0.6435573863983154","0.6435573863983154","0.4965051618218422","0.4965051618218422","0.4965051618218422","0.6436897569894791","0.6436897569894791","0.6436897569894791","0.5117321798205375","0.5117321798205375","0.5117321798205375","0.6459490662813187","0.6459490662813187","0.6459490662813187","0.4948619568347931","0.4948619568347931","0.4948619568347931","0.6459039562940597","0.6459039562940597","0.6459039562940597","0.6447743028402328","0.6447743028402328","0.6447743028402328","0.5035403054952622","0.5035403054952622","0.5035403054952622","0.49760585129261015","0.49760585129261015","0.49760585129261015"
"500","0.6453313905000687","0.6453313905000687","0.6453313905000687","0.4961444297432899","0.4961444297432899","0.4961444297432899","0.642516148686409","0.642516148686409","0.642516148686409","0.5010677605867386","0.5010677605867386","0.5010677605867386","0.6462369763851166","0.6462369763851166","0.6462369763851166","0.4936833807826042","0.4936833807826042","0.4936833807826042","0.6407511520385742","0.6407511520385742","0.6407511520385742","0.6397137641906738","0.6397137641906738","0.6397137641906738","0.49396503388881685","0.49396503388881685","0.49396503388881685","0.5003440552949905","0.5003440552949905","0.5003440552949905"
"600","0.6417276251316071","0.6417276251316071","0.6417276251316071","0.49545590549707413","0.49545590549707413","0.49545590549707413","0.6401650542020798","0.6401650542020798","0.6401650542020798","0.48953466683626173","0.48953466683626173","0.48953466683626173","0.6368898421525955","0.6368898421525955","0.6368898421525955","0.4949174189567566","0.4949174189567566","0.4949174189567566","0.641574844121933","0.641574844121933","0.641574844121933","0.6408923047780991","0.6408923047780991","0.6408923047780991","0.5001688769459725","0.5001688769459725","0.5001688769459725","0.49572323620319364","0.49572323620319364","0.49572323620319364"
"700","0.642303062081337","0.642303062081337","0.642303062081337","0.49367191284894946","0.49367191284894946","0.49367191284894946","0.6377528405189514","0.6377528405189514","0.6377528405189514","0.4866793829202652","0.4866793829202652","0.4866793829202652","0.6415203458070755","0.6415203458070755","0.6415203458070755","0.48569987177848817","0.48569987177848817","0.48569987177848817","0.6412349587678909","0.6412349587678909","0.6412349587678909","0.6382188665866851","0.6382188665866851","0.6382188665866851","0.48495947510004045","0.48495947510004045","0.48495947510004045","0.4883698108792305","0.4883698108792305","0.4883698108792305"
"800","0.636362320780754","0.636362320780754","0.636362320780754","0.4829175755381584","0.4829175755381584","0.4829175755381584","0.6432817697525024","0.6432817697525024","0.6432817697525024","0.4868682599067688","0.4868682599067688","0.4868682599067688","0.6356574207544327","0.6356574207544327","0.6356574207544327","0.4912612321972847","0.4912612321972847","0.4912612321972847","0.6352193194627762","0.6352193194627762","0.6352193194627762","0.635783217549324","0.635783217549324","0.635783217549324","0.4887084156274796","0.4887084156274796","0.4887084156274796","0.4795809170603752","0.4795809170603752","0.4795809170603752"
"900","0.63534314930439","0.63534314930439","0.63534314930439","0.48191055327653887","0.48191055327653887","0.48191055327653887","0.6369448345899582","0.6369448345899582","0.6369448345899582","0.48649726808071136","0.48649726808071136","0.48649726808071136","0.6338012540340423","0.6338012540340423","0.6338012540340423","0.4870122513175011","0.4870122513175011","0.4870122513175011","0.638245125412941","0.638245125412941","0.638245125412941","0.6358022248744964","0.6358022248744964","0.6358022248744964","0.4905496633052826","0.4905496633052826","0.4905496633052826","0.48186622977256777","0.48186622977256777","0.48186622977256777"
"1000","0.6400055807828903","0.6400055807828903","0.6400055807828903","0.48249237924814226","0.48249237924814226","0.48249237924814226","0.6332294851541519","0.6332294851541519","0.6332294851541519","0.4855384293198586","0.4855384293198586","0.4855384293198586","0.6351123642921448","0.6351123642921448","0.6351123642921448","0.48028075575828555","0.48028075575828555","0.48028075575828555","0.6433996909856796","0.6433996909856796","0.6433996909856796","0.6350274026393891","0.6350274026393891","0.6350274026393891","0.4826038792729378","0.4826038792729378","0.4826038792729378","0.485790094435215","0.485790094435215","0.485790094435215"
"1100","0.6388677555322647","0.6388677555322647","0.6388677555322647","0.4761467388272285","0.4761467388272285","0.4761467388272285","0.6395428878068924","0.6395428878068924","0.6395428878068924","0.4766725564002991","0.4766725564002991","0.4766725564002991","0.6353289091587067","0.6353289091587067","0.6353289091587067","0.4815566024184227","0.4815566024184227","0.4815566024184227","0.6347335940599441","0.6347335940599441","0.6347335940599441","0.6340356081724167","0.6340356081724167","0.6340356081724167","0.48140948832035063","0.48140948832035063","0.48140948832035063","0.4826932352781296","0.4826932352781296","0.4826932352781296"
"1200","0.6351610839366912","0.6351610839366912","0.6351610839366912","0.4769058594107628","0.4769058594107628","0.4769058594107628","0.6350316822528839","0.6350316822528839","0.6350316822528839","0.4826062136888504","0.4826062136888504","0.4826062136888504","0.6369109922647476","0.6369109922647476","0.6369109922647476","0.4830983734130859","0.4830983734130859","0.4830983734130859","0.6360522288084031","0.6360522288084031","0.6360522288084031","0.633440403342247","0.633440403342247","0.633440403342247","0.47330169528722765","0.47330169528722765","0.47330169528722765","0.471135687828064","0.471135687828064","0.471135687828064"
"1300","0.6288172149658203","0.6288172149658203","0.6288172149658203","0.47586704850196837","0.47586704850196837","0.47586704850196837","0.6342441743612289","0.6342441743612289","0.6342441743612289","0.4719891941547394","0.4719891941547394","0.4719891941547394","0.6329170989990235","0.6329170989990235","0.6329170989990235","0.47019377917051314","0.47019377917051314","0.47019377917051314","0.6336749118566513","0.6336749118566513","0.6336749118566513","0.6333610886335372","0.6333610886335372","0.6333610886335372","0.47570701330900195","0.47570701330900195","0.47570701330900195","0.4834167855978012","0.4834167855978012","0.4834167855978012"
"1400","0.6328188669681549","0.6328188669681549","0.6328188669681549","0.47691244959831236","0.47691244959831236","0.47691244959831236","0.6310706567764283","0.6310706567764283","0.6310706567764283","0.47477588325738906","0.47477588325738906","0.47477588325738906","0.6342228311300278","0.6342228311300278","0.6342228311300278","0.4761845049262047","0.4761845049262047","0.4761845049262047","0.633562992811203","0.633562992811203","0.633562992811203","0.6302105903625488","0.6302105903625488","0.6302105903625488","0.4759166797995567","0.4759166797995567","0.4759166797995567","0.47076150685548784","0.47076150685548784","0.47076150685548784"
"1500","0.6287564200162887","0.6287564200162887","0.6287564200162887","0.47047521471977233","0.47047521471977233","0.47047521471977233","0.6237584775686265","0.6237584775686265","0.6237584775686265","0.4707206851243973","0.4707206851243973","0.4707206851243973","0.6310339516401291","0.6310339516401291","0.6310339516401291","0.4717186635732651","0.4717186635732651","0.4717186635732651","0.6333934360742569","0.6333934360742569","0.6333934360742569","0.6295181965827942","0.6295181965827942","0.6295181965827942","0.4739814403653145","0.4739814403653145","0.4739814403653145","0.47920010060071944","0.47920010060071944","0.47920010060071944"
"1600","0.6281584215164184","0.6281584215164184","0.6281584215164184","0.46712686121463776","0.46712686121463776","0.46712686121463776","0.6331721484661103","0.6331721484661103","0.6331721484661103","0.467880035340786","0.467880035340786","0.467880035340786","0.631305200457573","0.631305200457573","0.631305200457573","0.4707362923026085","0.4707362923026085","0.4707362923026085","0.6280161851644516","0.6280161851644516","0.6280161851644516","0.6310529315471649","0.6310529315471649","0.6310529315471649","0.4722441503405571","0.4722441503405571","0.4722441503405571","0.4756623387336731","0.4756623387336731","0.4756623387336731"
"1700","0.6297743666172028","0.6297743666172028","0.6297743666172028","0.47376804023981095","0.47376804023981095","0.47376804023981095","0.6314888799190521","0.6314888799190521","0.6314888799190521","0.4738729912042618","0.4738729912042618","0.4738729912042618","0.6290969061851501","0.6290969061851501","0.6290969061851501","0.47320392429828645","0.47320392429828645","0.47320392429828645","0.6263639140129089","0.6263639140129089","0.6263639140129089","0.6287248569726944","0.6287248569726944","0.6287248569726944","0.4674302688241005","0.4674302688241005","0.4674302688241005","0.4671693462133408","0.4671693462133408","0.4671693462133408"
"1800","0.6303630304336548","0.6303630304336548","0.6303630304336548","0.47282285541296004","0.47282285541296004","0.47282285541296004","0.6283065295219421","0.6283065295219421","0.6283065295219421","0.47064987927675245","0.47064987927675245","0.47064987927675245","0.6184812420606614","0.6184812420606614","0.6184812420606614","0.46539898723363876","0.46539898723363876","0.46539898723363876","0.6333138173818589","0.6333138173818589","0.6333138173818589","0.6276994997262955","0.6276994997262955","0.6276994997262955","0.47689194917678834","0.47689194917678834","0.47689194917678834","0.46637117624282837","0.46637117624282837","0.46637117624282837"
"1900","0.6238082683086396","0.6238082683086396","0.6238082683086396","0.469846279323101","0.469846279323101","0.469846279323101","0.6269520658254624","0.6269520658254624","0.6269520658254624","0.461483541727066","0.461483541727066","0.461483541727066","0.6321548682451248","0.6321548682451248","0.6321548682451248","0.4710783314704895","0.4710783314704895","0.4710783314704895","0.6246440601348877","0.6246440601348877","0.6246440601348877","0.632094509601593","0.632094509601593","0.632094509601593","0.466012025475502","0.466012025475502","0.466012025475502","0.46816216498613356","0.46816216498613356","0.46816216498613356"
