"Step","biogrid_exp_match_seed314 - train/avg_pos","biogrid_exp_match_seed314 - train/avg_pos__MIN","biogrid_exp_match_seed314 - train/avg_pos__MAX","biogrid_exp_nomatch_seed314 - train/avg_pos","biogrid_exp_nomatch_seed314 - train/avg_pos__MIN","biogrid_exp_nomatch_seed314 - train/avg_pos__MAX","biogrid_exp_match_seed550 - train/avg_pos","biogrid_exp_match_seed550 - train/avg_pos__MIN","biogrid_exp_match_seed550 - train/avg_pos__MAX","biogrid_exp_nomatch_seed550 - train/avg_pos","biogrid_exp_nomatch_seed550 - train/avg_pos__MIN","biogrid_exp_nomatch_seed550 - train/avg_pos__MAX","biogrid_exp_match_seed576 - train/avg_pos","biogrid_exp_match_seed576 - train/avg_pos__MIN","biogrid_exp_match_seed576 - train/avg_pos__MAX","biogrid_exp_nomatch_seed576 - train/avg_pos","biogrid_exp_nomatch_seed576 - train/avg_pos__MIN","biogrid_exp_nomatch_seed576 - train/avg_pos__MAX","biogrid_exp_match_seed842 - train/avg_pos","biogrid_exp_match_seed842 - train/avg_pos__MIN","biogrid_exp_match_seed842 - train/avg_pos__MAX","biogrid_exp_match_seed669 - train/avg_pos","biogrid_exp_match_seed669 - train/avg_pos__MIN","biogrid_exp_match_seed669 - train/avg_pos__MAX","biogrid_exp_nomatch_seed842 - train/avg_pos","biogrid_exp_nomatch_seed842 - train/avg_pos__MIN","biogrid_exp_nomatch_seed842 - train/avg_pos__MAX","biogrid_exp_nomatch_seed669 - train/avg_pos","biogrid_exp_nomatch_seed669 - train/avg_pos__MIN","biogrid_exp_nomatch_seed669 - train/avg_pos__MAX"
"100","0.5315603017807007","0.5315603017807007","0.5315603017807007","0.5580354332923889","0.5580354332923889","0.5580354332923889","0.5336633324623108","0.5336633324623108","0.5336633324623108","0.5598531365394592","0.5598531365394592","0.5598531365394592","0.5527520179748535","0.5527520179748535","0.5527520179748535","0.5724866390228271","0.5724866390228271","0.5724866390228271","0.5401859879493713","0.5401859879493713","0.5401859879493713","0.5329685807228088","0.5329685807228088","0.5329685807228088","0.5640040040016174","0.5640040040016174","0.5640040040016174","0.5769921541213989","0.5769921541213989","0.5769921541213989"
"200","0.5855521559715271","0.5855521559715271","0.5855521559715271","0.6977516412734985","0.6977516412734985","0.6977516412734985","0.57477205991745","0.57477205991745","0.57477205991745","0.7574741244316101","0.7574741244316101","0.7574741244316101","0.5833399295806885","0.5833399295806885","0.5833399295806885","0.7371582984924316","0.7371582984924316","0.7371582984924316","0.5881626605987549","0.5881626605987549","0.5881626605987549","0.5756023526191711","0.5756023526191711","0.5756023526191711","0.697723388671875","0.697723388671875","0.697723388671875","0.7461179494857788","0.7461179494857788","0.7461179494857788"
"300","0.5794664621353149","0.5794664621353149","0.5794664621353149","0.7823761701583862","0.7823761701583862","0.7823761701583862","0.5870578289031982","0.5870578289031982","0.5870578289031982","0.7954034209251404","0.7954034209251404","0.7954034209251404","0.5885652899742126","0.5885652899742126","0.5885652899742126","0.8007408380508423","0.8007408380508423","0.8007408380508423","0.5975057482719421","0.5975057482719421","0.5975057482719421","0.5901541709899902","0.5901541709899902","0.5901541709899902","0.7859663963317871","0.7859663963317871","0.7859663963317871","0.7951238751411438","0.7951238751411438","0.7951238751411438"
"400","0.598864734172821","0.598864734172821","0.598864734172821","0.8170560598373413","0.8170560598373413","0.8170560598373413","0.5962426066398621","0.5962426066398621","0.5962426066398621","0.8023101687431335","0.8023101687431335","0.8023101687431335","0.5930097699165344","0.5930097699165344","0.5930097699165344","0.8181451559066772","0.8181451559066772","0.8181451559066772","0.5951346755027771","0.5951346755027771","0.5951346755027771","0.5906745791435242","0.5906745791435242","0.5906745791435242","0.8104214668273926","0.8104214668273926","0.8104214668273926","0.8120255470275879","0.8120255470275879","0.8120255470275879"
"500","0.5961976051330566","0.5961976051330566","0.5961976051330566","0.8206416964530945","0.8206416964530945","0.8206416964530945","0.5954394340515137","0.5954394340515137","0.5954394340515137","0.8140710592269897","0.8140710592269897","0.8140710592269897","0.5936561822891235","0.5936561822891235","0.5936561822891235","0.8221399188041687","0.8221399188041687","0.8221399188041687","0.6006619930267334","0.6006619930267334","0.6006619930267334","0.6012588143348694","0.6012588143348694","0.6012588143348694","0.8200068473815918","0.8200068473815918","0.8200068473815918","0.8143090605735779","0.8143090605735779","0.8143090605735779"
"600","0.5961989760398865","0.5961989760398865","0.5961989760398865","0.8210338354110718","0.8210338354110718","0.8210338354110718","0.6020476818084717","0.6020476818084717","0.6020476818084717","0.8250440955162048","0.8250440955162048","0.8250440955162048","0.6027894020080566","0.6027894020080566","0.6027894020080566","0.8192272782325745","0.8192272782325745","0.8192272782325745","0.6000407338142395","0.6000407338142395","0.6000407338142395","0.5979388952255249","0.5979388952255249","0.5979388952255249","0.8147247433662415","0.8147247433662415","0.8147247433662415","0.8218604326248169","0.8218604326248169","0.8218604326248169"
"700","0.5957194566726685","0.5957194566726685","0.5957194566726685","0.8279492259025574","0.8279492259025574","0.8279492259025574","0.6059898138046265","0.6059898138046265","0.6059898138046265","0.8276501297950745","0.8276501297950745","0.8276501297950745","0.5966342687606812","0.5966342687606812","0.5966342687606812","0.8307991027832031","0.8307991027832031","0.8307991027832031","0.5957496166229248","0.5957496166229248","0.5957496166229248","0.6020438075065613","0.6020438075065613","0.6020438075065613","0.8353936672210693","0.8353936672210693","0.8353936672210693","0.8274067640304565","0.8274067640304565","0.8274067640304565"
"800","0.6058967709541321","0.6058967709541321","0.6058967709541321","0.8378466963768005","0.8378466963768005","0.8378466963768005","0.5979551076889038","0.5979551076889038","0.5979551076889038","0.8348026275634766","0.8348026275634766","0.8348026275634766","0.6085481643676758","0.6085481643676758","0.6085481643676758","0.8269318342208862","0.8269318342208862","0.8269318342208862","0.6078534126281738","0.6078534126281738","0.6078534126281738","0.6075325608253479","0.6075325608253479","0.6075325608253479","0.8291102647781372","0.8291102647781372","0.8291102647781372","0.8386649489402771","0.8386649489402771","0.8386649489402771"
"900","0.6130441427230835","0.6130441427230835","0.6130441427230835","0.8354547619819641","0.8354547619819641","0.8354547619819641","0.6059393882751465","0.6059393882751465","0.6059393882751465","0.8380333185195923","0.8380333185195923","0.8380333185195923","0.6083681583404541","0.6083681583404541","0.6083681583404541","0.8286451697349548","0.8286451697349548","0.8286451697349548","0.5997459888458252","0.5997459888458252","0.5997459888458252","0.6019996404647827","0.6019996404647827","0.6019996404647827","0.8310499787330627","0.8310499787330627","0.8310499787330627","0.8410829305648804","0.8410829305648804","0.8410829305648804"
"1000","0.5962082743644714","0.5962082743644714","0.5962082743644714","0.8371943831443787","0.8371943831443787","0.8371943831443787","0.6126785278320312","0.6126785278320312","0.6126785278320312","0.8318781852722168","0.8318781852722168","0.8318781852722168","0.610183596611023","0.610183596611023","0.610183596611023","0.8372730016708374","0.8372730016708374","0.8372730016708374","0.597603976726532","0.597603976726532","0.597603976726532","0.6086148619651794","0.6086148619651794","0.6086148619651794","0.8363304734230042","0.8363304734230042","0.8363304734230042","0.8348323702812195","0.8348323702812195","0.8348323702812195"
"1100","0.6064258813858032","0.6064258813858032","0.6064258813858032","0.8415679931640625","0.8415679931640625","0.8415679931640625","0.6005008816719055","0.6005008816719055","0.6005008816719055","0.8438783288002014","0.8438783288002014","0.8438783288002014","0.6095837950706482","0.6095837950706482","0.6095837950706482","0.8440796136856079","0.8440796136856079","0.8440796136856079","0.6070666909217834","0.6070666909217834","0.6070666909217834","0.6115871667861938","0.6115871667861938","0.6115871667861938","0.8412347435951233","0.8412347435951233","0.8412347435951233","0.8371984362602234","0.8371984362602234","0.8371984362602234"
