"Step","biogrid_exp_match_seed314 - train/avg_neg","biogrid_exp_match_seed314 - train/avg_neg__MIN","biogrid_exp_match_seed314 - train/avg_neg__MAX","biogrid_exp_nomatch_seed314 - train/avg_neg","biogrid_exp_nomatch_seed314 - train/avg_neg__MIN","biogrid_exp_nomatch_seed314 - train/avg_neg__MAX","biogrid_exp_match_seed550 - train/avg_neg","biogrid_exp_match_seed550 - train/avg_neg__MIN","biogrid_exp_match_seed550 - train/avg_neg__MAX","biogrid_exp_nomatch_seed550 - train/avg_neg","biogrid_exp_nomatch_seed550 - train/avg_neg__MIN","biogrid_exp_nomatch_seed550 - train/avg_neg__MAX","biogrid_exp_match_seed576 - train/avg_neg","biogrid_exp_match_seed576 - train/avg_neg__MIN","biogrid_exp_match_seed576 - train/avg_neg__MAX","biogrid_exp_nomatch_seed576 - train/avg_neg","biogrid_exp_nomatch_seed576 - train/avg_neg__MIN","biogrid_exp_nomatch_seed576 - train/avg_neg__MAX","biogrid_exp_match_seed842 - train/avg_neg","biogrid_exp_match_seed842 - train/avg_neg__MIN","biogrid_exp_match_seed842 - train/avg_neg__MAX","biogrid_exp_match_seed669 - train/avg_neg","biogrid_exp_match_seed669 - train/avg_neg__MIN","biogrid_exp_match_seed669 - train/avg_neg__MAX","biogrid_exp_nomatch_seed842 - train/avg_neg","biogrid_exp_nomatch_seed842 - train/avg_neg__MIN","biogrid_exp_nomatch_seed842 - train/avg_neg__MAX","biogrid_exp_nomatch_seed669 - train/avg_neg","biogrid_exp_nomatch_seed669 - train/avg_neg__MIN","biogrid_exp_nomatch_seed669 - train/avg_neg__MAX"
"100","0.5021184682846069","0.5021184682846069","0.5021184682846069","0.4946368336677551","0.4946368336677551","0.4946368336677551","0.5001242160797119","0.5001242160797119","0.5001242160797119","0.49843981862068176","0.49843981862068176","0.49843981862068176","0.528268575668335","0.528268575668335","0.528268575668335","0.5319240689277649","0.5319240689277649","0.5319240689277649","0.510316789150238","0.510316789150238","0.510316789150238","0.5049284100532532","0.5049284100532532","0.5049284100532532","0.507041871547699","0.507041871547699","0.507041871547699","0.508845865726471","0.508845865726471","0.508845865726471"
"200","0.5143743753433228","0.5143743753433228","0.5143743753433228","0.5113771557807922","0.5113771557807922","0.5113771557807922","0.5074225664138794","0.5074225664138794","0.5074225664138794","0.5164124965667725","0.5164124965667725","0.5164124965667725","0.5123705267906189","0.5123705267906189","0.5123705267906189","0.5163721442222595","0.5163721442222595","0.5163721442222595","0.5149194002151489","0.5149194002151489","0.5149194002151489","0.5073832869529724","0.5073832869529724","0.5073832869529724","0.5136299729347229","0.5136299729347229","0.5136299729347229","0.5121938586235046","0.5121938586235046","0.5121938586235046"
"300","0.5058020949363708","0.5058020949363708","0.5058020949363708","0.5103230476379395","0.5103230476379395","0.5103230476379395","0.5079849362373352","0.5079849362373352","0.5079849362373352","0.5065864324569702","0.5065864324569702","0.5065864324569702","0.5080722570419312","0.5080722570419312","0.5080722570419312","0.5083628296852112","0.5083628296852112","0.5083628296852112","0.5134993195533752","0.5134993195533752","0.5134993195533752","0.5087817311286926","0.5087817311286926","0.5087817311286926","0.5142579078674316","0.5142579078674316","0.5142579078674316","0.509010374546051","0.509010374546051","0.509010374546051"
"400","0.5141934156417847","0.5141934156417847","0.5141934156417847","0.5063880681991577","0.5063880681991577","0.5063880681991577","0.5105178356170654","0.5105178356170654","0.5105178356170654","0.5073931217193604","0.5073931217193604","0.5073931217193604","0.5113730430603027","0.5113730430603027","0.5113730430603027","0.504896879196167","0.504896879196167","0.504896879196167","0.5122811794281006","0.5122811794281006","0.5122811794281006","0.5056437849998474","0.5056437849998474","0.5056437849998474","0.5096952319145203","0.5096952319145203","0.5096952319145203","0.5064971446990967","0.5064971446990967","0.5064971446990967"
"500","0.5133209824562073","0.5133209824562073","0.5133209824562073","0.5074852108955383","0.5074852108955383","0.5074852108955383","0.5088699460029602","0.5088699460029602","0.5088699460029602","0.5052483081817627","0.5052483081817627","0.5052483081817627","0.5111292004585266","0.5111292004585266","0.5111292004585266","0.5052372217178345","0.5052372217178345","0.5052372217178345","0.5105399489402771","0.5105399489402771","0.5105399489402771","0.5095659494400024","0.5095659494400024","0.5095659494400024","0.5051068663597107","0.5051068663597107","0.5051068663597107","0.5078557729721069","0.5078557729721069","0.5078557729721069"
"600","0.5072217583656311","0.5072217583656311","0.5072217583656311","0.5067988038063049","0.5067988038063049","0.5067988038063049","0.5112508535385132","0.5112508535385132","0.5112508535385132","0.5019443035125732","0.5019443035125732","0.5019443035125732","0.5075172185897827","0.5075172185897827","0.5075172185897827","0.5058298707008362","0.5058298707008362","0.5058298707008362","0.5087100267410278","0.5087100267410278","0.5087100267410278","0.5069351196289062","0.5069351196289062","0.5069351196289062","0.5046591758728027","0.5046591758728027","0.5046591758728027","0.5055434703826904","0.5055434703826904","0.5055434703826904"
"700","0.5060402154922485","0.5060402154922485","0.5060402154922485","0.5041789412498474","0.5041789412498474","0.5041789412498474","0.5112780928611755","0.5112780928611755","0.5112780928611755","0.5012451410293579","0.5012451410293579","0.5012451410293579","0.5076491236686707","0.5076491236686707","0.5076491236686707","0.5027820467948914","0.5027820467948914","0.5027820467948914","0.5079456567764282","0.5079456567764282","0.5079456567764282","0.5092391967773438","0.5092391967773438","0.5092391967773438","0.5046794414520264","0.5046794414520264","0.5046794414520264","0.5036479830741882","0.5036479830741882","0.5036479830741882"
"800","0.5060555934906006","0.5060555934906006","0.5060555934906006","0.5015445351600647","0.5015445351600647","0.5015445351600647","0.510097861289978","0.510097861289978","0.510097861289978","0.5020069479942322","0.5020069479942322","0.5020069479942322","0.5090985298156738","0.5090985298156738","0.5090985298156738","0.5030606985092163","0.5030606985092163","0.5030606985092163","0.5080522298812866","0.5080522298812866","0.5080522298812866","0.5090291500091553","0.5090291500091553","0.5090291500091553","0.5029892921447754","0.5029892921447754","0.5029892921447754","0.5043803453445435","0.5043803453445435","0.5043803453445435"
"900","0.5148600935935974","0.5148600935935974","0.5148600935935974","0.5038456916809082","0.5038456916809082","0.5038456916809082","0.508857250213623","0.508857250213623","0.508857250213623","0.5034506916999817","0.5034506916999817","0.5034506916999817","0.5072727799415588","0.5072727799415588","0.5072727799415588","0.5022561550140381","0.5022561550140381","0.5022561550140381","0.5053378343582153","0.5053378343582153","0.5053378343582153","0.5028977990150452","0.5028977990150452","0.5028977990150452","0.5062210559844971","0.5062210559844971","0.5062210559844971","0.5041535496711731","0.5041535496711731","0.5041535496711731"
"1000","0.5042900443077087","0.5042900443077087","0.5042900443077087","0.5009472370147705","0.5009472370147705","0.5009472370147705","0.5090383291244507","0.5090383291244507","0.5090383291244507","0.501478910446167","0.501478910446167","0.501478910446167","0.5100923180580139","0.5100923180580139","0.5100923180580139","0.5004134178161621","0.5004134178161621","0.5004134178161621","0.5088410377502441","0.5088410377502441","0.5088410377502441","0.5092455744743347","0.5092455744743347","0.5092455744743347","0.5011112093925476","0.5011112093925476","0.5011112093925476","0.5037540197372437","0.5037540197372437","0.5037540197372437"
